,title,genres,genres_list,release_date,budget,revenue,tmdbid,imdbid,runtime,vote_average,vote_count,keywords,keywords_list
6831,Timeline ( 2003 ),Action|Adventure|Science Fiction,"['Action', 'Adventure', 'Science Fiction']",2003-11-26,80000000,43935763,9562,9562,116.0,5.4,324,professor|time travel|quantum mechanics|hundred years' war|excavation|knight|medieval times,"['professor', 'time travel', 'quantum mechanics', ""hundred years' war"", 'excavation', 'knight', 'medieval times']"
6838,Darkman ( 1990 ),Action|Science Fiction|Crime,"['Action', 'Science Fiction', 'Crime']",1990-08-24,16000000,48878502,9556,9556,96.0,6.2,304,corruption|experiment|burn|mask|gangster boss|los angeles|madness|outsider|disfigurement|conflagration|darkman,"['corruption', 'experiment', 'burn', 'mask', 'gangster boss', 'los angeles', 'madness', 'outsider', 'disfigurement', 'conflagration', 'darkman']"
6849,New Jack City ( 1991 ),Thriller|Crime|Drama,"['Thriller', 'Crime', 'Drama']",1991-03-08,8500000,47624253,10952,10952,97.0,6.3,134,drug dealer|undercover agent|gang leader|crack|cops,"['drug dealer', 'undercover agent', 'gang leader', 'crack', 'cops']"
6851,WarGames ( 1983 ),Thriller|Science Fiction,"['Thriller', 'Science Fiction']",1983-06-03,12000000,79567667,860,860,114.0,7.0,517,video game|artificial intelligence|fbi|cold war|hacker|prosecution|norad|government|computer|nuclear threat,"['video game', 'artificial intelligence', 'fbi', 'cold war', 'hacker', 'prosecution', 'norad', 'government', 'computer', 'nuclear threat']"
6858,Ben-Hur: A Tale of the Christ ( 1925 ),Adventure|Drama,"['Adventure', 'Drama']",1925-12-30,3900000,9000000,31510,31510,143.0,7.3,20,chariot race|revenge|silent film|seductress|sea battle|spectacle|two strip technicolor|galley slave|enslavement|temptress|nativity|lepers,"['chariot race', 'revenge', 'silent film', 'seductress', 'sea battle', 'spectacle', 'two strip technicolor', 'galley slave', 'enslavement', 'temptress', 'nativity', 'lepers']"
6865,Hannah and Her Sisters ( 1986 ),Comedy|Drama,"['Comedy', 'Drama']",1986-02-07,6400000,40084041,5143,5143,107.0,7.6,224,writing|opera|thanksgiving|hypochondriac|television producer|architecture|singing|new york city|relationship|art|fear of dying,"['writing', 'opera', 'thanksgiving', 'hypochondriac', 'television producer', 'architecture', 'singing', 'new york city', 'relationship', 'art', 'fear of dying']"
6868,Highlander II: The Quickening ( 1991 ),Action|Fantasy|Science Fiction,"['Action', 'Fantasy', 'Science Fiction']",1991-01-30,30000000,15556340,8010,8010,91.0,4.5,213,new york|scotland|immortality,"['new york', 'scotland', 'immortality']"
6872,Hudson Hawk ( 1991 ),Action|Adventure|Comedy,"['Action', 'Adventure', 'Comedy']",1991-05-23,65000000,17218080,9292,9292,100.0,5.4,275,vatican|leonardo da vinci|painting|master thief,"['vatican', 'leonardo da vinci', 'painting', 'master thief']"
6873,Invasion of the Body Snatchers ( 1978 ),Horror|Mystery|Science Fiction|Thriller,"['Horror', 'Mystery', 'Science Fiction', 'Thriller']",1978-12-19,3500000,24046533,11850,11850,115.0,7.1,231,taxi|san francisco|1970s|psychoanalysis|remake|alien|alien invasion|alien infection|epidemic|biologist|doppelganger|emotionless,"['taxi', 'san francisco', '1970s', 'psychoanalysis', 'remake', 'alien', 'alien invasion', 'alien infection', 'epidemic', 'biologist', 'doppelganger', 'emotionless']"
6876,Kindergarten Cop ( 1990 ),Comedy,['Comedy'],1990-12-21,15000000,201957688,951,951,111.0,5.8,643,crime fighter|cook|drug dealer|dying and death|kindergarten|kiss|police|teacher|children education,"['crime fighter', 'cook', 'drug dealer', 'dying and death', 'kindergarten', 'kiss', 'police', 'teacher', 'children education']"
6879,The Last Boy Scout ( 1991 ),Action|Thriller,"['Action', 'Thriller']",1991-12-11,29000000,59509925,9319,9319,105.0,6.5,502,bomb|corruption|assassin|sniper|anti hero|cocaine|senator|strip club|cynicism|puppet|swimming pool|dysfunctional marriage|los angeles|police detective|alcoholic|private detective|bribery|frame up|exotic dancer|child kidnapping,"['bomb', 'corruption', 'assassin', 'sniper', 'anti hero', 'cocaine', 'senator', 'strip club', 'cynicism', 'puppet', 'swimming pool', 'dysfunctional marriage', 'los angeles', 'police detective', 'alcoholic', 'private detective', 'bribery', 'frame up', 'exotic dancer', 'child kidnapping']"
6880,Last Tango in Paris ( 1972 ),Drama|Romance,"['Drama', 'Romance']",1972-10-14,1250000,36144000,1643,1643,129.0,7.1,240,paris|sex|nudity|business man|love|tragedy|relationship|american|woman|apartment|extramarital affair|parisian|clandestine,"['paris', 'sex', 'nudity', 'business man', 'love', 'tragedy', 'relationship', 'american', 'woman', 'apartment', 'extramarital affair', 'parisian', 'clandestine']"
6884,Mr. Destiny ( 1990 ),Fantasy|Comedy|Science Fiction|Romance,"['Fantasy', 'Comedy', 'Science Fiction', 'Romance']",1990-10-12,20000000,15379253,2612,2612,110.0,6.1,60,wish,['wish']
6888,Over the Top ( 1987 ),Action|Drama,"['Action', 'Drama']",1987-02-13,25000000,16057580,1825,1825,93.0,5.7,331,sport|bad father-in-law| armwrestling,"['sport', 'bad father-in-law', '\xa0armwrestling']"
6889,Passenger 57 ( 1992 ),Action|Adventure|Thriller,"['Action', 'Adventure', 'Thriller']",1992-11-05,15000000,44065653,10538,10538,84.0,5.6,264,airport|florida|fbi|hijacking|ex-cop|los angeles|fbi agent,"['airport', 'florida', 'fbi', 'hijacking', 'ex-cop', 'los angeles', 'fbi agent']"
6890,Presumed Innocent ( 1990 ),Drama|Thriller|Crime|Mystery,"['Drama', 'Thriller', 'Crime', 'Mystery']",1990-07-26,22000000,221303188,11092,11092,127.0,6.6,155,loss of lover|lover (female)|investigation|lawyer|courtroom,"['loss of lover', 'lover (female)', 'investigation', 'lawyer', 'courtroom']"
6891,Project X ( 1987 ),Drama,['Drama'],1987-04-17,18000000,18532286,18410,18410,108.0,6.2,77,chimp,['chimp']
6893,Pure Luck ( 1991 ),Comedy|Crime|Mystery,"['Comedy', 'Crime', 'Mystery']",1991-08-09,17010000,24941969,19065,19065,96.0,5.5,32,woman director,['woman director']
6894,Battle Royale ( 2000 ),Drama|Thriller|Adventure,"['Drama', 'Thriller', 'Adventure']",2000-12-16,4500000,25000000,3176,3176,114.0,7.3,992,island|television|survivor|soldier|battle|death|game of death|school class,"['island', 'television', 'survivor', 'soldier', 'battle', 'death', 'game of death', 'school class']"
6895,The Wedding Banquet ( 1993 ),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",1993-08-04,1000000,6933459,9261,9261,109.0,6.8,42,gay|new york|father son relationship|wife husband relationship|coming out|wedding night|taiwan|homosexuality|independent film|wedding|family,"['gay', 'new york', 'father son relationship', 'wife husband relationship', 'coming out', 'wedding night', 'taiwan', 'homosexuality', 'independent film', 'wedding', 'family']"
6902,Radio Flyer ( 1992 ),Drama,['Drama'],1992-02-21,35000000,4651977,20763,20763,114.0,6.6,54,step father|physical abuse|abuse,"['step father', 'physical abuse', 'abuse']"
6905,The Secret of My Success ( 1987 ),Comedy,['Comedy'],1987-04-10,12000000,110996879,10021,10021,111.0,6.2,151,dual identity|mistake in person|college|success|wealth,"['dual identity', 'mistake in person', 'college', 'success', 'wealth']"
6907,Streets of Fire ( 1984 ),Action|Thriller|Music,"['Action', 'Thriller', 'Music']",1984-06-01,14500000,8089290,14746,14746,93.0,6.6,105,fan|rescue|singer|motorcycle|motorcycle gang,"['fan', 'rescue', 'singer', 'motorcycle', 'motorcycle gang']"
6915,Vivre Sa Vie ( 1962 ),Drama,['Drama'],1962-09-20,64000,24517,1626,1626,85.0,7.6,105,paris|philosophy|prostitute|pimp|female protagonist|prostitution|free will|woman smoking|pinball machine|rule of law,"['paris', 'philosophy', 'prostitute', 'pimp', 'female protagonist', 'prostitution', 'free will', 'woman smoking', 'pinball machine', 'rule of law']"
6916,Wild at Heart ( 1990 ),Comedy|Crime|Thriller,"['Comedy', 'Crime', 'Thriller']",1990-05-01,9500000,14560247,483,483,124.0,7.0,341,prison|sex|witch|hotel room|texas|loss of father|car journey|new orleans|hitman|snake skin jacket|fairy|murder|car crash|escape|mother daughter relationship|pistol|violence|killer|bank robbery|car|hoodlum,"['prison', 'sex', 'witch', 'hotel room', 'texas', 'loss of father', 'car journey', 'new orleans', 'hitman', 'snake skin jacket', 'fairy', 'murder', 'car crash', 'escape', 'mother daughter relationship', 'pistol', 'violence', 'killer', 'bank robbery', 'car', 'hoodlum']"
6919,Year of the Dragon ( 1985 ),Action|Crime|Drama|Thriller,"['Action', 'Crime', 'Drama', 'Thriller']",1985-08-16,24000000,18707466,11018,11018,134.0,6.5,70,heroin|drug smuggle|chinese mafia|cop|china town,"['heroin', 'drug smuggle', 'chinese mafia', 'cop', 'china town']"
6924,Mary of Scotland ( 1936 ),Drama|History,"['Drama', 'History']",1936-08-28,864000,1276000,43875,43875,123.0,6.6,8,scotland|england|queen|tudors|mary queen of scots|execution|protestant|catholicism|16th century,"['scotland', 'england', 'queen', 'tudors', 'mary queen of scots', 'execution', 'protestant', 'catholicism', '16th century']"
6927,Swing Time ( 1936 ),Comedy|Music|Romance,"['Comedy', 'Music', 'Romance']",1936-08-27,886000,2600000,20325,20325,103.0,7.1,47,musical|ballroom dancing,"['musical', 'ballroom dancing']"
6934,Birdman of Alcatraz ( 1962 ),Drama,['Drama'],1962-07-03,2650000,3100000,898,898,147.0,7.0,71,usa|prison|rebel|prisoner|difficult childhood|bird|alcatraz|ornithology|biography|solitary confinement|warden,"['usa', 'prison', 'rebel', 'prisoner', 'difficult childhood', 'bird', 'alcatraz', 'ornithology', 'biography', 'solitary confinement', 'warden']"
6937,The Birth of a Nation ( 1915 ),Drama|History|War,"['Drama', 'History', 'War']",1915-02-08,100000,11000000,618,618,193.0,6.4,109,ku klux klan|southern usa|patriotism|army|silent film,"['ku klux klan', 'southern usa', 'patriotism', 'army', 'silent film']"
6942,Red River ( 1948 ),Western,['Western'],1948-08-26,3000000,9012000,3089,3089,133.0,7.3,85,texas|dangerous|kansas|cattle drive|revenge|cattle|adopted child|cattle empire,"['texas', 'dangerous', 'kansas', 'cattle drive', 'revenge', 'cattle', 'adopted child', 'cattle empire']"
6944,Stagecoach ( 1939 ),Adventure|Western,"['Adventure', 'Western']",1939-03-02,531374,1103757,995,995,96.0,7.6,216,prostitute|marriage proposal|new mexico|arizona|infant|fugitive|doctor|desert|stagecoach|cowboy|stranger|indian attack|cowboys and indians|street shootout|outlaw gang|ostracism|calvary|drunkard|outcasts,"['prostitute', 'marriage proposal', 'new mexico', 'arizona', 'infant', 'fugitive', 'doctor', 'desert', 'stagecoach', 'cowboy', 'stranger', 'indian attack', 'cowboys and indians', 'street shootout', 'outlaw gang', 'ostracism', 'calvary', 'drunkard', 'outcasts']"
6948,Bullitt ( 1968 ),Action|Crime|Drama|Thriller,"['Action', 'Crime', 'Drama', 'Thriller']",1968-10-17,5500000,42300873,916,916,113.0,7.0,273,san francisco|hotel|detective|based on novel|airport|witness protection|principal witness |politician|suspense|organized crime|hospital|burglary|gunfight|explosion|car chase|gritty|coroner|mob hit|ford mustang|dodge charger,"['san francisco', 'hotel', 'detective', 'based on novel', 'airport', 'witness protection', 'principal witness ', 'politician', 'suspense', 'organized crime', 'hospital', 'burglary', 'gunfight', 'explosion', 'car chase', 'gritty', 'coroner', 'mob hit', 'ford mustang', 'dodge charger']"
6952,42nd Street ( 1933 ),Music|Comedy|Romance,"['Music', 'Comedy', 'Romance']",1933-02-02,439000,2281000,3062,3062,89.0,6.1,38,philadelphia|musical|stage show|director|broken ankle|chorus line|pet dog|broadway|fainting|chorus girl|opening night|crutch|theatrical backer|eviction|show producer|chorine|plaster cast|show must go on|financial crisis|sock on the jaw,"['philadelphia', 'musical', 'stage show', 'director', 'broken ankle', 'chorus line', 'pet dog', 'broadway', 'fainting', 'chorus girl', 'opening night', 'crutch', 'theatrical backer', 'eviction', 'show producer', 'chorine', 'plaster cast', 'show must go on', 'financial crisis', 'sock on the jaw']"
6953,I'm No Angel ( 1933 ),Comedy|Romance,"['Comedy', 'Romance']",1933-10-06,225000,2850000,34456,34456,87.0,6.3,6,romantic comedy,['romantic comedy']
6959,A Passage to India ( 1984 ),Drama|Adventure|History,"['Drama', 'Adventure', 'History']",1984-12-14,8000000,27187653,15927,15927,163.0,6.8,69,doctor|india|english|magistrate|1920s|mosque,"['doctor', 'india', 'english', 'magistrate', '1920s', 'mosque']"
6962,Hero ( 2002 ),Drama|Adventure|Action|History,"['Drama', 'Adventure', 'Action', 'History']",2002-12-19,31000000,177394432,79,79,99.0,7.3,647,countryside|loss of lover|right and justice|patriot,"['countryside', 'loss of lover', 'right and justice', 'patriot']"
6964,Anna Karenina ( 1935 ),Drama|Romance,"['Drama', 'Romance']",1935-08-30,1152000,1439000,70881,70881,95.0,6.6,25,based on novel|russia|marriage|love|train,"['based on novel', 'russia', 'marriage', 'love', 'train']"
6971,Nausicaä of the Valley of the Wind ( 1984 ),Adventure|Animation|Fantasy,"['Adventure', 'Animation', 'Fantasy']",1984-03-11,1000000,3301446,81,81,117.0,7.7,808,saving the world|human vs nature|fungus spores   |future|airplane|post-apocalyptic|war|toxic|based on manga|ecology|giant insect|duringcreditsstinger|anime,"['saving the world', 'human vs nature', 'fungus spores   ', 'future', 'airplane', 'post-apocalyptic', 'war', 'toxic', 'based on manga', 'ecology', 'giant insect', 'duringcreditsstinger', 'anime']"
6974,Dragnet ( 1987 ),Action|Comedy|Crime,"['Action', 'Comedy', 'Crime']",1987-06-25,20000000,66673516,10023,10023,106.0,5.7,139,molotow cocktail|health food|speech impediment|reverend|ice sculpture|miranda warning|orange county california|female police commissioner|homage|yugo,"['molotow cocktail', 'health food', 'speech impediment', 'reverend', 'ice sculpture', 'miranda warning', 'orange county california', 'female police commissioner', 'homage', 'yugo']"
6976,1941 ( 1979 ),Action|Comedy,"['Action', 'Comedy']",1979-12-13,35000000,31755742,11519,11519,113.0,5.6,145,submarine|california|world war ii|war ship|pearl harbor|satire|los angeles|anarchic comedy,"['submarine', 'california', 'world war ii', 'war ship', 'pearl harbor', 'satire', 'los angeles', 'anarchic comedy']"
6989,Leprechaun ( 1993 ),Comedy|Horror|Thriller,"['Comedy', 'Horror', 'Thriller']",1993-01-08,900000,8556940,11811,11811,92.0,5.1,120,daughter|kobold|kleeblatt|north dakota|murder|leprechaun,"['daughter', 'kobold', 'kleeblatt', 'north dakota', 'murder', 'leprechaun']"
6999,Run ( 1991 ),Action|Thriller|Drama,"['Action', 'Thriller', 'Drama']",1991-02-01,16000000,4409328,48129,48129,91.0,5.5,13,man on the run,['man on the run']
7014,Honey ( 2003 ),Romance|Music|Family,"['Romance', 'Music', 'Family']",2003-11-24,18000000,62646763,10028,10028,94.0,6.0,313,new york|dancing|hip-hop|dream|dance|blackmail|harassment|career|video|teacher|business|sabotage|choreographer|club|harlem|youth center,"['new york', 'dancing', 'hip-hop', 'dream', 'dance', 'blackmail', 'harassment', 'career', 'video', 'teacher', 'business', 'sabotage', 'choreographer', 'club', 'harlem', 'youth center']"
7015,The Last Samurai ( 2003 ),Drama|Action|War|History,"['Drama', 'Action', 'War', 'History']",2003-12-05,140000000,456758981,616,616,154.0,7.3,1946,japan|war crimes|sense of guilt|swordplay|general|samurai|war veteran|katana|sword|arms deal|homeland|emperor|language barrier|self-discovery|mountain village|foreign legion|mercenary|campaign|commercial agreement|insurgence|leader|war strategy|gettysburg|loss of husband|slaughter|soldier|alcoholic|u.s. soldier|japanese army|19th century|war trauma,"['japan', 'war crimes', 'sense of guilt', 'swordplay', 'general', 'samurai', 'war veteran', 'katana', 'sword', 'arms deal', 'homeland', 'emperor', 'language barrier', 'self-discovery', 'mountain village', 'foreign legion', 'mercenary', 'campaign', 'commercial agreement', 'insurgence', 'leader', 'war strategy', 'gettysburg', 'loss of husband', 'slaughter', 'soldier', 'alcoholic', 'u.s. soldier', 'japanese army', '19th century', 'war trauma']"
7018,Big Fish ( 2003 ),Adventure|Fantasy|Drama,"['Adventure', 'Fantasy', 'Drama']",2003-12-25,70000000,122919055,587,587,125.0,7.6,2064,circus|father son relationship|witch|fish|fishing|love of one's life|leech|story teller|apoplectic stroke|fair|mermaid|cancer|relationship|youth|gentle giant,"['circus', 'father son relationship', 'witch', 'fish', 'fishing', ""love of one's life"", 'leech', 'story teller', 'apoplectic stroke', 'fair', 'mermaid', 'cancer', 'relationship', 'youth', 'gentle giant']"
7020,Something's Gotta Give ( 2003 ),Drama|Comedy|Romance,"['Drama', 'Comedy', 'Romance']",2003-12-12,80000000,266728738,6964,6964,128.0,6.3,422,age difference|ladykiller|woman director,"['age difference', 'ladykiller', 'woman director']"
7021,Stuck on You ( 2003 ),Comedy,['Comedy'],2003-12-10,55000000,33828318,1792,1792,118.0,5.1,194,sex|dancer|martial arts|cook|stripper|love|bully|hollywood|twins|flashback|freak|actor|anxiety|conjoined|siamese,"['sex', 'dancer', 'martial arts', 'cook', 'stripper', 'love', 'bully', 'hollywood', 'twins', 'flashback', 'freak', 'actor', 'anxiety', 'conjoined', 'siamese']"
7024,The Lord of the Rings: The Return of the King ( 2003 ),Adventure|Fantasy|Action,"['Adventure', 'Fantasy', 'Action']",2003-12-01,94000000,1118888979,122,122,201.0,8.1,8226,elves|orcs|middle-earth (tolkien)|based on novel|suspicion|bravery|war|honor|troll|brutality|violence|ghost|end of trilogy|quest|sword and sorcery,"['elves', 'orcs', 'middle-earth (tolkien)', 'based on novel', 'suspicion', 'bravery', 'war', 'honor', 'troll', 'brutality', 'violence', 'ghost', 'end of trilogy', 'quest', 'sword and sorcery']"
7026,Calendar Girls ( 2003 ),Comedy,['Comedy'],2003-09-02,10000000,96542059,8696,8696,108.0,6.6,94,female nudity|england|mannequin|leukemia|calendar,"['female nudity', 'england', 'mannequin', 'leukemia', 'calendar']"
7029,House of Sand and Fog ( 2003 ),Drama,['Drama'],2003-12-19,16500000,16942795,11093,11093,126.0,7.0,202,san francisco|immigrant|house|intimidation|iranian,"['san francisco', 'immigrant', 'house', 'intimidation', 'iranian']"
7031,Monster ( 2003 ),Crime|Drama,"['Crime', 'Drama']",2003-11-16,8000000,60378584,504,504,110.0,7.0,500,female nudity|prostitute|rape|sexual abuse|desperation|death penalty|motel|job interview|based on true story|murder|betrayal|serial killer|poverty|prostitution|heartbreak|mental illness|woman director|ugly,"['female nudity', 'prostitute', 'rape', 'sexual abuse', 'desperation', 'death penalty', 'motel', 'job interview', 'based on true story', 'murder', 'betrayal', 'serial killer', 'poverty', 'prostitution', 'heartbreak', 'mental illness', 'woman director', 'ugly']"
7032,Cheaper by the Dozen ( 2003 ),Comedy,['Comedy'],2003-12-24,40000000,190212113,11007,11007,98.0,6.0,725,big family|new job|aspiring actor|smart kid,"['big family', 'new job', 'aspiring actor', 'smart kid']"
7033,Cold Mountain ( 2003 ),Drama,['Drama'],2003-12-24,79000000,173013509,2289,2289,154.0,6.7,545,loss of lover|loss of family|deserter|loss of father|love of one's life,"['loss of lover', 'loss of family', 'deserter', 'loss of father', ""love of one's life""]"
7034,Paycheck ( 2003 ),Action|Adventure|Mystery|Science Fiction|Thriller,"['Action', 'Adventure', 'Mystery', 'Science Fiction', 'Thriller']",2003-12-25,60000000,96269812,9620,9620,119.0,5.9,594,prophecy|engineer|scientist|millionaire,"['prophecy', 'engineer', 'scientist', 'millionaire']"
7035,Peter Pan ( 2003 ),Adventure|Fantasy|Family,"['Adventure', 'Fantasy', 'Family']",2003-12-25,100000000,121975011,10601,10601,113.0,6.9,671,flying|liberation|fairy|peter pan|pirate gang|mermaid,"['flying', 'liberation', 'fairy', 'peter pan', 'pirate gang', 'mermaid']"
7036,The Company ( 2003 ),Drama,['Drama'],2003-09-10,15000000,2281585,52036,52036,112.0,5.7,21,ballet dancer|independent film|ballet,"['ballet dancer', 'independent film', 'ballet']"
7040,Chasing Liberty ( 2004 ),Comedy|Romance,"['Comedy', 'Romance']",2004-01-09,23000000,12,14844,14844,111.0,6.1,154,venice|berlin|usa president|undercover|prague|romantic comedy|travel|lying|young adult|secret service agent|overprotective father,"['venice', 'berlin', 'usa president', 'undercover', 'prague', 'romantic comedy', 'travel', 'lying', 'young adult', 'secret service agent', 'overprotective father']"
7044,Along Came Polly ( 2004 ),Comedy|Romance,"['Comedy', 'Romance']",2004-01-16,42000000,171963386,5966,5966,90.0,5.8,795,beach|honeymoon|bride|chance|risk|relation|long island|romantic comedy|comedy|scuba diving|unfaithfulness|los angeles|art gallery|dance class|opposites attract|caribbean|commitment|dance club|neurotic|bagpipes|chance encounter|insurance risk manager,"['beach', 'honeymoon', 'bride', 'chance', 'risk', 'relation', 'long island', 'romantic comedy', 'comedy', 'scuba diving', 'unfaithfulness', 'los angeles', 'art gallery', 'dance class', 'opposites attract', 'caribbean', 'commitment', 'dance club', 'neurotic', 'bagpipes', 'chance encounter', 'insurance risk manager']"
7046,Torque ( 2004 ),Action,['Action'],2004-01-16,40000000,46546197,10718,10718,84.0,4.7,121,ex-girlfriend|drug dealer|gang|motorcycle,"['ex-girlfriend', 'drug dealer', 'gang', 'motorcycle']"
7049,The Great Gatsby ( 1974 ),Drama|Romance,"['Drama', 'Romance']",1974-03-27,6500000,26533200,11034,11034,144.0,6.2,144,long island|crush|wealth|millionaire,"['long island', 'crush', 'wealth', 'millionaire']"
7060,"Car 54, Where Are You? ( 1994 )",Action|Comedy,"['Action', 'Comedy']",1994-01-28,10700000,1238080,31395,31395,89.0,3.0,5,police|based on tv series,"['police', 'based on tv series']"
7063,Only the Strong ( 1993 ),Action,['Action'],1993-08-27,6000000,3283371,15797,15797,99.0,6.8,30,,[]
7064,The Adventures of Ford Fairlane ( 1990 ),Action|Comedy|Thriller|Crime|Mystery,"['Action', 'Comedy', 'Thriller', 'Crime', 'Mystery']",1990-07-11,49000000,20423389,9548,9548,104.0,6.2,72,rock and roll|show business|rock star|heavy metal|murder|private detective,"['rock and roll', 'show business', 'rock star', 'heavy metal', 'murder', 'private detective']"
7069,The Pick-up Artist ( 1987 ),Romance|Comedy|Crime|Drama,"['Romance', 'Comedy', 'Crime', 'Drama']",1987-09-18,15000000,13290368,17258,17258,81.0,5.4,35,womanizer|debt|alcoholic father,"['womanizer', 'debt', 'alcoholic father']"
7099,Cool World ( 1992 ),Animation|Comedy|Fantasy,"['Animation', 'Comedy', 'Fantasy']",1992-07-10,30000000,14110589,14239,14239,102.0,4.9,135,sex|seduction|comic book|alternate dimension|adult animation|cartoonist|live action and animation,"['sex', 'seduction', 'comic book', 'alternate dimension', 'adult animation', 'cartoonist', 'live action and animation']"
7100,Money for Nothing ( 1993 ),Drama|Action|Comedy|Thriller|Crime,"['Drama', 'Action', 'Comedy', 'Thriller', 'Crime']",1993-09-10,11000000,1044824,55448,55448,100.0,5.1,21,,[]
7125,The Butterfly Effect ( 2004 ),Science Fiction|Thriller,"['Science Fiction', 'Thriller']",2004-01-22,13000000,96060858,1954,1954,113.0,7.3,2119,amnesia|chaos theory|blackout|time travel|flashback,"['amnesia', 'chaos theory', 'blackout', 'time travel', 'flashback']"
7126,Win a Date with Tad Hamilton! ( 2004 ),Comedy|Romance,"['Comedy', 'Romance']",2004-01-23,17000000,16980098,13476,13476,95.0,5.5,163,celebrity|romantic comedy|male female relationship|movie star,"['celebrity', 'romantic comedy', 'male female relationship', 'movie star']"
7128,The Big Bounce ( 2004 ),Comedy|Crime,"['Comedy', 'Crime']",2004-01-30,50000000,6808550,12634,12634,88.0,5.0,77,hotel|robbery|based on novel|judge|hawaii|blackmail|seduction|yacht|waterfall|delinquency|safe|stolen money|deception|skinny dipping|cell phone|double cross|beach house|elmore leonard|scheming|yellow bikini,"['hotel', 'robbery', 'based on novel', 'judge', 'hawaii', 'blackmail', 'seduction', 'yacht', 'waterfall', 'delinquency', 'safe', 'stolen money', 'deception', 'skinny dipping', 'cell phone', 'double cross', 'beach house', 'elmore leonard', 'scheming', 'yellow bikini']"
7131,Latter Days ( 2003 ),Drama|Comedy|Romance,"['Drama', 'Comedy', 'Romance']",2003-07-10,850000,819939,15708,15708,107.0,6.8,57,gay|coming out|religion|mormon,"['gay', 'coming out', 'religion', 'mormon']"
7132,Barbershop 2:  Back in Business ( 2004 ),Comedy|Drama,"['Comedy', 'Drama']",2004-01-20,18000000,65070412,21301,21301,106.0,5.7,77,blaxploitation,['blaxploitation']
7133,Catch That Kid ( 2004 ),Family|Action|Adventure,"['Family', 'Action', 'Adventure']",2004-02-06,18000000,16702864,20483,20483,92.0,5.0,78,bank robbery,['bank robbery']
7134,Miracle ( 2004 ),Drama|History,"['Drama', 'History']",2004-02-06,28000000,64445708,14292,14292,135.0,7.0,162,olympic games|sport|ice hockey|milwaukee wisconsin|st. paul minnesota|gas rationing|lake placid new york|aftercreditsstinger|duringcreditsstinger,"['olympic games', 'sport', 'ice hockey', 'milwaukee wisconsin', 'st. paul minnesota', 'gas rationing', 'lake placid new york', 'aftercreditsstinger', 'duringcreditsstinger']"
7136,The Dreamers ( 2003 ),Drama|Romance,"['Drama', 'Romance']",2003-09-01,15000000,15121165,1278,1278,115.0,7.2,680,paris|love triangle|male nudity|female nudity|sex|hotel|sexuality|cinephilia|flat|bathing|riot|first time|students' movement|crush|american|twins|apartment|incest,"['paris', 'love triangle', 'male nudity', 'female nudity', 'sex', 'hotel', 'sexuality', 'cinephilia', 'flat', 'bathing', 'riot', 'first time', ""students' movement"", 'crush', 'american', 'twins', 'apartment', 'incest']"
7145,Let's Do It Again ( 1975 ),Comedy|Action|Crime,"['Comedy', 'Action', 'Crime']",1975-10-11,70000,11800000,29473,29473,110.0,7.7,10,gambling|hypnosis|money|blaxploitation|gang|church,"['gambling', 'hypnosis', 'money', 'blaxploitation', 'gang', 'church']"
7156,Thirteen ( 2003 ),Crime|Drama,"['Crime', 'Drama']",2003-08-20,2000000,4601043,11023,11023,100.0,6.6,355,cheating|dysfunctional family|teen angst|underage drinking|domestic violence|makeover|drug overdose|teacher student relationship|street life|movie theater|razor blade|tattoo shop|peer pressure|shoe store|overachiever|reference to jack black|flunking out of school|promiscuous mother|glue sniffing|woman director,"['cheating', 'dysfunctional family', 'teen angst', 'underage drinking', 'domestic violence', 'makeover', 'drug overdose', 'teacher student relationship', 'street life', 'movie theater', 'razor blade', 'tattoo shop', 'peer pressure', 'shoe store', 'overachiever', 'reference to jack black', 'flunking out of school', 'promiscuous mother', 'glue sniffing', 'woman director']"
7159,Foolish Wives ( 1922 ),Drama,['Drama'],1922-01-11,1100000,400200,35227,35227,117.0,6.4,10,monte carlo|court|wig,"['monte carlo', 'court', 'wig']"
7163,Best Defense ( 1984 ),Action|Comedy,"['Action', 'Comedy']",1984-07-20,18000000,19265302,11221,11221,94.0,3.6,25,middle east|armor|kgb|test|error|engineer|army,"['middle east', 'armor', 'kgb', 'test', 'error', 'engineer', 'army']"
7164,50 First Dates ( 2004 ),Comedy|Romance,"['Comedy', 'Romance']",2004-02-13,75000000,196482882,1824,1824,99.0,6.6,2161,deja vu|amnesia|hawaii|ladykiller|romantic comedy,"['deja vu', 'amnesia', 'hawaii', 'ladykiller', 'romantic comedy']"
7165,Welcome to Mooseport ( 2004 ),Comedy,['Comedy'],2004-02-24,30000000,14000000,16784,16784,110.0,4.8,54,,[]
7171,Vanishing Point ( 1971 ),Action|Thriller|Drama,"['Action', 'Thriller', 'Drama']",1971-01-15,1300000,72266306,11951,11951,99.0,7.1,110,san francisco|bet|denver|police|auto-tuning,"['san francisco', 'bet', 'denver', 'police', 'auto-tuning']"
